servicio,clase,cantidad
ESTADO,Furgoneta P,187
OTROS,Automóvil,12
ALQUILER,Automóvil,12456
ALQUILER,Otra Clase,160
MUNNICIPIO,Camioneta,1110
OTROS,Tanquero,3
ESTADO,Jeep,1602
ALQUILER,Trailer,1474
ALQUILER,Camión,5781
MUNNICIPIO,Furgoneta C,26
PARTICULAR,Furgoneta P,45473
MUNNICIPIO,Autobus,36
ESTADO,Camioneta,3393
ESTADO,Furgoneta C,164
ESTADO,Trailer,31
SECTORES SECCIONALES,Motocicleta,1
ESTADO,Tanquero,96
PARTICULAR,Motocicleta,85739
OTROS,Otra Clase,29
ESTADO,Autobus,271
MUNNICIPIO,Volqueta,369
ESTADO,Camión,261
PARTICULAR,Trailer,3169
MUNNICIPIO,Camión,260
SECTORES SECCIONALES,Jeep,6
ESTADO,Automóvil,130
OTROS,Furgoneta C,3
OTROS,Furgoneta P,4
MUNNICIPIO,Jeep,363
OTROS,Volqueta,25
PARTICULAR,Furgoneta C,14882
ALQUILER,Autobus,6455
OTROS,Jeep,30
PARTICULAR,Camión,46751
MUNNICIPIO,Tanquero,57
SECTORES SECCIONALES,Trailer,1
MUNNICIPIO,Motocicleta,29
ESTADO,Motocicleta,149
PARTICULAR,Volqueta,5581
MUNNICIPIO,Trailer,14
PARTICULAR,Otra Clase,2456
ALQUILER,Volqueta,1418
ALQUILER,Camioneta,4915
MUNNICIPIO,Automóvil,10
OTROS,Camión,10
ESTADO,Otra Clase,249
SECTORES SECCIONALES,Volqueta,8
ALQUILER,Tanquero,423
ESTADO,Volqueta,267
SECTORES SECCIONALES,Camión,4
PARTICULAR,Tanquero,1502
PARTICULAR,Autobus,1075
OTROS,Camioneta,29
ALQUILER,Furgoneta C,2050
PARTICULAR,Camioneta,228064
PARTICULAR,Automóvil,323673
SECTORES SECCIONALES,Camioneta,13
MUNNICIPIO,Otra Clase,173
SECTORES SECCIONALES,Tanquero,3
ALQUILER,Jeep,4
PARTICULAR,Jeep,115360
OTROS,Trailer,11
ALQUILER,Furgoneta P,602
MUNNICIPIO,Furgoneta P,6
